ID,Center Name,ServeLesbian,ServeGay,ServeBisexual,ServeTransgender,GeoCoverage,WebPresence,WebAddress,NGOStatus,InOperation,SiteType,OrgType,PhisicalSpace,SpaceType,Street Address,City,State,Zip,SHServices,HealthScreenings,CTServices,SupportServices,BlackSpecific,LatinoSpecific,APISpecific,MaleSpecific,FemaleSpecific,GenerationSpecific,Source,CommunityCenter,CommHealthCenter,,,,,,
054,Resource Center Dallas - Nelson Tebedo Clinic,1,1,1,1,2,1,www.rcdallas.org,1,1,2,0,1,1,4012 Cedar Springs Road,Dallas,Texas,75219,1,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,
055,Resource Center Dallas - Nutrition Center/Food Pantry,1,1,1,1,2,1,www.rcdallas.org,1,1,2,0,1,1,5450 Denton Crive Cut Off,Dallas,Texas,75235,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,
056,Resource Center Dallas - Fuse,0,1,1,0,2,1,www.rcdallas.org,1,1,2,0,1,1,4038 Lemmon Avenue,Dallas,Texas,75219,1,1,0,0,0,0,0,1,0,1,1,1,1,,,,,,
057,Resource Center Dallas - United Black Ellument,0,1,1,0,2,1,www.rcdallas.org,1,1,2,0,1,1,3116 Commerce Street,Dallas,Texas,75226,1,1,0,0,1,0,0,1,0,1,1,1,1,,,,,,
058,Resource Center Dallas - Youth First,1,1,1,1,2,1,www.rcdallas.org,1,1,2,0,1,1,3918 Harry Hines Boulevard,Dallas,Texas,75219,1,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
059,Pride Center of Vermont,1,1,1,1,1,1,http://www.pridecentervt.org/,1,1,1,0,1,1,255 South Champlain Street,Burlington,Vermont,05401,0,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,
060,"Ruth Ellis Center, Inc.",1,1,1,1,2,1,http://www.ruthelliscenter.org/,1,1,1,0,1,1,77 Victor Street,Highland Park,Michigan,48203,1,1,1,1,0,0,0,0,0,1,1,1,1,,,,,,
061,San Diego LGBT Community Center,1,1,1,1,2,1,http://www.thecentersd.org/,1,1,1,0,1,1,3909 Centre Street,San Diego,California,92103,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
062,SMYAL,1,1,1,1,2,1,http://www.smyal.org/,1,1,1,0,1,1,"410 7th Street, SE",Washington,District of Columbia,20003,1,0,0,1,0,0,0,0,0,1,1,1,1,,,,,,
063,Staten Island LGBT Community Center,1,1,1,1,2,1,http://www.pridecentersi.org/,1,1,1,0,1,1,25 Victory Boulevard,Saten Island,New York,10301,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
